student_id,sample_number,is_exito,sensor_name,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
Edgar,1,0,Antebrazo,0.0,0.71128505,0.44548938,-0.43877473,-4.18608856,-25.95446205,37.28388596,0.99357092,-0.05605063,-0.03164429,-0.0931332
Edgar,1,0,Antebrazo,0.01,0.71600652,0.41236845,-0.4762584,1.77454364,-33.61227798,43.59777451,0.99306673,-0.05797288,-0.03480827,-0.09615682
Edgar,1,0,Antebrazo,0.02,0.63818443,0.42629069,-0.4778522,10.98010349,-41.38917542,52.42631531,0.99036485,-0.09076963,-0.05882328,-0.08647642
Edgar,1,0,Antebrazo,0.03,0.55601251,0.43120572,-0.51769787,20.3202076,-45.20026398,62.97759628,0.98941499,-0.09473135,-0.06346505,-0.08975725
Edgar,1,0,Antebrazo,0.04,0.51558703,0.42187348,-0.55583721,30.49905396,-47.92623138,72.87807465,0.98828048,-0.09955928,-0.06899583,-0.09289359
Edgar,1,0,Antebrazo,0.05,0.57416898,0.38358214,-0.61917502,40.13153458,-53.08813095,80.29132843,0.98693359,-0.10533347,-0.07515353,-0.09601583
Edgar,1,0,Antebrazo,0.06,0.74048638,0.37569615,-0.70073277,53.00131989,-61.92863846,84.64883423,0.98532355,-0.11245929,-0.08164871,-0.09911571
Edgar,1,0,Antebrazo,0.07,0.87320536,0.38348395,-0.77919656,69.3785553,-72.7569046,88.1782074,0.97793132,-0.15294912,-0.11213335,-0.08765336
Edgar,1,0,Antebrazo,0.08,0.90936756,0.40897974,-0.83360398,85.97098541,-80.44999695,93.23423004,0.97517842,-0.16339102,-0.11908091,-0.09027801
Edgar,1,0,Antebrazo,0.09,0.84945095,0.41985855,-0.81259805,102.28926086,-81.64920044,98.290802,0.9720394,-0.17494875,-0.12662718,-0.09218527
Edgar,1,0,Antebrazo,0.1,0.76819319,0.35366496,-0.76139909,112.01433563,-84.22705078,105.46651459,0.96847498,-0.18726544,-0.1348123,-0.09388065
Edgar,1,0,Antebrazo,0.11,0.78217542,0.35927072,-0.71419525,116.00354004,-85.04325104,110.46131897,0.96455568,-0.19985391,-0.14341219,-0.09551884
Edgar,1,0,Antebrazo,0.12,0.90900528,0.44103062,-0.75837177,119.39296722,-89.71159363,113.18119049,0.95829099,-0.22138098,-0.1603093,-0.08348615
Edgar,1,0,Antebrazo,0.13,1.06349409,0.56844473,-0.8204453,125.50289917,-100.87091827,119.58496094,0.95321679,-0.23550566,-0.16904634,-0.08566371
Edgar,1,0,Antebrazo,0.14,1.17195833,0.68953359,-0.8406989,131.32795715,-104.3808136,127.19120026,0.94757342,-0.25014782,-0.17833,-0.08791646
Edgar,1,0,Antebrazo,0.15,1.19310701,0.73055744,-0.92481869,136.62963867,-105.25294495,137.19796753,0.94131863,-0.26511309,-0.18840601,-0.09020776
Edgar,1,0,Antebrazo,0.16,1.19852877,0.74189019,-0.93834078,146.29658508,-104.40934753,144.75390625,0.93441749,-0.28052759,-0.19920975,-0.09210642
Edgar,1,0,Antebrazo,0.17,1.1663475,0.73002172,-0.93184835,153.69154358,-102.17061615,147.02658081,0.9326036,-0.28332517,-0.20197743,-0.09582549
Edgar,1,0,Antebrazo,0.18,1.09607148,0.76687205,-0.89881295,163.78114319,-105.94920349,152.10096741,0.9247483,-0.29968724,-0.21360551,-0.09695806
Edgar,1,0,Antebrazo,0.19,1.03100145,0.77206194,-0.84661835,178.98822021,-110.86585236,157.08308411,0.91597712,-0.31708196,-0.2256712,-0.09755839
Edgar,1,0,Antebrazo,0.2,0.97326583,0.66247082,-0.91554046,193.00205994,-123.93109894,157.8901825,0.906183,-0.33588222,-0.23754284,-0.09792353
Edgar,1,0,Antebrazo,0.21,1.03991234,0.49964994,-0.91940969,202.95150757,-136.39994812,157.78179932,0.89540178,-0.35578221,-0.24905655,-0.09821226
Edgar,1,0,Antebrazo,0.22,1.10504079,0.38495719,-0.92839551,201.94284058,-140.22511292,155.68795776,0.89322144,-0.36234599,-0.253589,-0.08095439
Edgar,1,0,Antebrazo,0.23,1.18950677,0.44789234,-0.9570719,191.82725525,-141.46488953,151.44070435,0.8820405,-0.38186905,-0.26360676,-0.08180615
Edgar,1,0,Antebrazo,0.24,1.22838008,0.63761127,-0.96328408,183.22090149,-122.52780151,157.59246826,0.87074763,-0.39958444,-0.27442831,-0.08258344
Edgar,1,0,Antebrazo,0.25,1.20693994,0.70018721,-0.93445617,183.88934326,-104.9465332,167.71246338,0.85901761,-0.41606921,-0.28651395,-0.08297653
