pid,trial,actual,predicted,prob,top_feature,top_shap
P004,21,accept,accept,0.543442139045865,delta_eeg_af7,0.09082464526991316
P001,23,accept,accept,0.5019352577485232,hr_deceleration,0.07015706079637311
P005,2,accept,reject,0.3934285368253098,delta_hr,0.05758443764216281
P005,3,reject,reject,0.16503914915589704,hr_deceleration,-0.12833504816248933
P001,1,accept,accept,0.5965051021261206,delta_hr,0.10410340358703252
P003,3,reject,reject,0.2645992100444714,delta_rmssd,-0.12954325597647767
P003,17,accept,reject,0.4445699775333758,hr_deceleration,0.04066967074541026
P003,19,accept,accept,0.5716987032308433,gsr_change_pct,0.053307283787762574
P001,11,reject,reject,0.36169023084930635,frontal_asymmetry,0.09554212004804867
P003,22,accept,reject,0.47911351255801177,gsr_change_pct,0.05349181509627669
